Player Name,Salary,Position,Age,GP,MP,GS,FG,FG%,2PA,2P%,AST,AST%
Chris Paul,28.4,PG,37,59,32,59,5,0.44,6.9,0.482,8.9,38.7
Kyle Lowry,28.333334,PG,36,55,31.2,44,3.6,0.404,3.2,0.509,5.1,23.4
Jalen Brunson,27.733332,PG,26,68,35,68,8.6,0.491,12.8,0.519,6.2,28.7
DeMar DeRozan,27.3,SF,33,74,36.2,74,8.9,0.504,15.7,0.526,5.1,22.3
Al Horford,26.5,C,36,63,30.5,63,3.6,0.476,2.4,0.539,3,13.2
Draymond Green,25.806468,PF,32,73,31.5,73,3.4,0.527,4.7,0.612,6.8,27.8
Julius Randle,23.76,PF,28,77,35.5,77,8.5,0.459,10.3,0.553,4.1,18.5
John Collins,23.5,PF,25,71,30,71,5.1,0.508,6.6,0.619,1.2,5.3
Mike Conley,22.68,PG,35,67,30.3,66,3.9,0.428,3.9,0.486,6.7,29.4
Malcolm Brogdon,22.6,PG,30,67,26,0,5.3,0.484,6.5,0.51,3.7,21.5
Anfernee Simons,22.321429,SG,23,62,35,62,7.5,0.447,7.8,0.528,4.1,18.6
Terry Rozier,21.486316,SG,28,63,35.3,63,7.8,0.415,10.8,0.48,5.1,22.7
Fred VanVleet,21.25,PG,28,69,36.7,69,6.3,0.393,7.3,0.455,7.2,28.1
Buddy Hield,21.17775,SF,30,80,31,73,5.9,0.458,4.5,0.518,2.8,13.3
Domantas Sabonis,21.1,C,26,79,34.6,79,7.3,0.615,10.8,0.639,7.3,30.4
Jerami Grant,20.955,PF,28,63,35.7,63,6.9,0.475,8.8,0.523,2.4,10.3
Aaron Gordon,20.690909,PF,27,68,30.2,68,6.3,0.564,8.6,0.628,3,14.2
Jarrett Allen,20,C,24,68,32.6,68,5.9,0.644,9.1,0.653,1.7,7.5
Nicolas Batum,19.700319,PF,34,78,21.9,19,2.1,0.42,0.8,0.563,1.6,9.4
Eric Gordon,19.56836,SG,34,69,28.5,58,4.2,0.446,4.3,0.535,2.7,13.4
Caris LeVert,18.796296,SG,28,74,30.2,30,4.3,0.431,5.6,0.462,3.9,18
Joe Harris,18.642857,SF,31,74,20.6,33,2.7,0.457,1.4,0.551,1.4,9.1
Harrison Barnes,18.352273,PF,30,82,32.5,82,4.6,0.473,5.3,0.553,1.6,6.3
Clint Capela,18.206896,C,28,65,26.6,63,5.4,0.653,8.2,0.654,0.9,4.7
Evan Fournier,18,SG,30,27,17,7,2.1,0.337,1.9,0.404,1.3,10.6
Steven Adams,17.926829,C,29,42,27,42,3.7,0.597,6.2,0.599,2.3,11.2
Jonathan Isaac,17.4,PF,25,11,11.3,0,2,0.415,3.5,0.421,0.5,7.3
OG Anunoby,17.357143,SF,25,67,35.6,67,6.3,0.476,7.7,0.539,2,8
Marcus Smart,17.207142,PG,28,61,32.1,61,4.1,0.415,4.3,0.519,6.3,26.4
Derrick White,17.142857,SG,28,82,28.3,70,4.3,0.462,4.5,0.548,3.9,19.4
Dejounte Murray,17.07112,SG,26,74,36.4,74,8.3,0.464,12.6,0.514,6.1,24
Mitchell Robinson,17.045454,C,24,59,27,58,3.2,0.671,4.7,0.671,0.9,4.5
Duncan Robinson,16.902,SF,28,42,16.5,1,2.1,0.371,1.1,0.556,1.1,9.7
Norman Powell,16.758621,SG,29,60,26.1,8,5.7,0.479,7.1,0.534,1.8,11
Collin Sexton,16.7,PG,24,48,23.9,15,4.9,0.506,7.2,0.546,2.9,17.9
Markelle Fultz,16.5,PG,24,60,29.6,60,5.8,0.514,9.9,0.544,5.7,29.8
Lauri Markkanen,16.475454,PF,25,66,34.4,66,8.7,0.499,9.6,0.585,1.9,8.6
Marcus Morris,16.372093,PF,33,65,28.1,65,4.2,0.426,5.2,0.484,1.8,8.9
Malik Beasley,15.558035,SG,26,81,25.8,27,4.6,0.395,3.4,0.484,1.5,8.4
Luguentz Dort,15.277778,SF,23,74,30.7,73,4.6,0.388,6.3,0.44,2.1,9.2
Will Barton,15.059712,SG,32,56,17.7,2,2.5,0.379,3.3,0.391,2,15.4
Tyus Jones,15,PG,26,80,24.3,22,3.9,0.438,4.8,0.495,5.2,28.8
Derrick Rose,14.52073,PG,34,27,12.5,0,2.3,0.384,3.6,0.438,1.7,19.9
Kevin Huerter,14.508929,SG,24,75,29.4,75,5.6,0.485,4.7,0.604,2.9,14.1
Christian Wood,14.317459,C,27,67,25.9,17,5.9,0.515,7.3,0.594,1.8,11.7
Kentavious Caldwell-Pope,14.004703,SG,29,76,31.3,76,3.8,0.462,4.1,0.502,2.4,9.8
Brook Lopez,13.906976,C,34,78,30.4,78,6.1,0.531,6.9,0.637,1.3,6.1
Doug McDermott,13.75,SF,31,64,20.5,0,3.7,0.457,3.5,0.516,1.4,9.8
Luke Kennard,13.745455,SG,26,59,22.3,14,3.2,0.492,1.9,0.487,1.5,9.4
Zion Williamson,13.534817,PF,22,29,33,29,9.8,0.608,15.5,0.618,4.6,24.4
Jordan Clarkson,13.34,SG,30,61,32.6,61,7.5,0.444,9.4,0.53,4.4,20.9
Gary Harris,13,SG,28,48,24.7,42,2.9,0.45,1.9,0.494,1.2,6.9
Kyle Kuzma,13,PF,27,64,35,64,8,0.448,10.3,0.533,3.7,16.5
Josh Hart,12.96,SF,27,76,32.3,52,3.6,0.529,4.7,0.601,3.8,16.1
Dorian Finney-Smith,12.939848,PF,29,66,30.4,66,3,0.391,2.5,0.503,1.5,6.7
Kelly Olynyk,12.804878,C,31,68,28.6,68,4.1,0.499,4.7,0.576,3.7,17.6
Chris Boucher,12.69,PF,30,76,20,0,3.4,0.493,4.5,0.585,0.4,2.7
Robert Covington,12.307692,PF,32,48,16.2,0,2.1,0.445,1.9,0.516,1.2,10.2
Josh Richardson,12.196094,SG,29,65,23.5,10,3.7,0.431,4,0.506,2.7,15.8
Ja Morant,12.11944,PG,23,61,31.9,59,9.3,0.466,15,0.519,8.1,41.1
Danny Green,11.710528,SG,35,11,12.5,0,2,0.449,1.1,0.5,0.5,6.1
Terrence Ross,11.5,SG,31,63,21.1,9,3.2,0.43,3.3,0.507,1.5,10.2
Reggie Jackson,11.457217,PG,32,68,24.4,40,3.9,0.411,5.2,0.474,3.4,20
Dillon Brooks,11.4,SF,27,73,30.3,73,5.4,0.396,7.6,0.451,2.6,11.7
Richaun Holmes,11.21526,C,29,42,8.3,1,1.3,0.618,1.9,0.617,0.2,3.5
Dwight Powell,11.080125,C,31,76,19.2,64,2.6,0.732,3.5,0.746,0.9,6.9
Paolo Banchero,11.05512,PF,20,72,33.8,72,6.7,0.427,11.6,0.471,3.7,17.2
RJ Barrett,10.900634,SG,22,73,33.9,73,7,0.434,10.8,0.495,2.8,12.4
Bobby Portis,10.84335,PF,27,70,26,22,5.7,0.496,7.8,0.555,1.5,8.7
DeAndre Jordan,10.733758,C,34,39,15,8,2.3,0.765,2.9,0.763,0.9,7.7
Anthony Edwards,10.7334,SG,21,79,36,79,8.9,0.459,12.2,0.513,4.4,19.3
Robert Williams,10.714287,C,25,35,23.5,20,3.6,0.747,4.8,0.751,1.4,8.5
Cade Cunningham,10.5528,PG,21,12,33.3,12,7.8,0.415,13.6,0.466,6,30.7
Mo Bamba,10.3,C,24,49,15.7,7,2.4,0.485,2.4,0.59,0.9,8.7
Talen Horton-Tucker,10.26,SG,22,65,20.2,20,4,0.419,6.3,0.485,3.8,27.4
Jae Crowder,10.1838,PF,32,18,18.9,3,2.5,0.479,2.2,0.538,1.5,10.6
Ivica Zubac,10.123457,C,25,76,28.6,76,4.3,0.634,6.7,0.637,1,5.1
Reggie Bullock,10.0128,SF,31,78,30.3,55,2.5,0.409,0.9,0.562,1.4,6.2
Alec Burks,10.0128,SG,31,51,22,8,3.9,0.436,4.3,0.459,2.2,15.9
De'Andre Hunter,9.835881,SF,25,67,31.7,67,5.7,0.461,8,0.521,1.4,6
James Wiseman,9.60336,C,21,45,19.3,22,4.2,0.558,7.1,0.58,0.7,5.5
Landry Shamet,9.5,SG,25,40,20.2,9,2.8,0.377,2.5,0.376,2.3,15.7
Malik Monk,9.472219,SG,24,77,22.3,0,4.6,0.448,5.2,0.538,3.9,25
Jalen Green,9.44184,SG,20,76,34.2,76,7.4,0.416,10.6,0.471,3.7,17.3
Jakob Poeltl,9.398148,C,27,72,26.5,71,5.4,0.629,8.6,0.63,2.7,15.2
Nerlens Noel,9.391069,C,28,17,11.5,4,0.8,0.361,2,0.353,0.6,6.7
Royce O'Neale,9.2,SF,29,76,31.7,53,3,0.386,2.3,0.379,3.7,15.3
Monte Morris,9.125,PG,27,62,27.3,61,4,0.48,5,0.543,5.3,26.4
Mason Plumlee,9.080417,C,32,79,26,60,4.2,0.68,6.1,0.68,3.1,17.3
Alex Caruso,9.03,PG,28,67,23.5,36,1.9,0.455,2,0.556,2.9,15.4
Maxi Kleber,9,PF,31,37,25.1,5,2.1,0.456,1.5,0.667,1.4,7.5
Grayson Allen,8.925,SG,27,72,27.4,70,3.4,0.44,2.7,0.518,2.3,10.9
Darius Garland,8.920794,PG,23,69,35.5,69,7.6,0.462,10.4,0.492,7.8,34.1
Isaiah Hartenstein,8.854879,C,24,82,19.8,8,2.1,0.535,3.5,0.576,1.2,8.3
Kyle Anderson,8.780488,PF,29,69,28.4,46,3.7,0.509,5.7,0.536,4.9,22.6
Victor Oladipo,8.75,SG,30,42,26.3,2,3.8,0.397,4.5,0.471,3.5,19.8
Daniel Theis,8.694369,C,30,7,15.6,1,3,0.477,4.7,0.576,1.3,12.2
LaMelo Ball,8.62392,PG,21,36,35.2,36,8.2,0.411,9.4,0.45,8.4,38.7
Seth Curry,8.496653,SG,32,61,19.9,7,3.4,0.463,3.6,0.525,1.6,11.9
Evan Mobley,8.47872,PF,21,79,34.4,79,6.6,0.554,10.7,0.595,2.8,12.4
